θindices,method_name,num_points,xtol_rel,conf_level,optimisation_calls,likelihood_calls
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,0.0,0.95,586,61218
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,0.0,0.95,567,50456
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,0.0,0.95,596,56865
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,0.0,0.979906,588,63506
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,0.0,0.979906,574,53091
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,0.0,0.979906,610,58385
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-20,0.95,586,33146
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-20,0.95,567,24632
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-20,0.95,596,30572
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-20,0.979906,588,34608
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-20,0.979906,574,25258
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-20,0.979906,610,31874
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-16,0.95,586,27826
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-16,0.95,567,20676
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-16,0.95,596,26249
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-16,0.979906,588,29588
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-16,0.979906,574,20961
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-16,0.979906,610,27471
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-12,0.95,586,21532
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-12,0.95,567,14687
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-12,0.95,596,20033
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-12,0.979906,588,23378
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-12,0.979906,574,14717
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-12,0.979906,610,20987
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-8,0.95,586,15550
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-8,0.95,567,8929
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-8,0.95,596,14238
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-8,0.979906,584,17306
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-8,0.979906,574,9150
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-8,0.979906,610,14924
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-6,0.95,586,14136
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-6,0.95,567,7281
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-6,0.95,596,12337
"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-6,0.979906,584,15894
"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-6,0.979906,574,7428
"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,1.0e-6,0.979906,610,13045
